ids	states	time	distance
0,1	Austria,Czech Republic	12454	337455	
0,2	Austria,Germany	24168	681740	
0,3	Austria,Hungary	8693	246755	
0,4	Austria,Liechtenstein	23467	697743	
0,5	Austria,Poland	28239	689714	
0,6	Austria,Slovakia	3363	82117	
0,7	Austria,Slovenia	12857	378805	
0,8	Austria,Switzerland	30496	893528	
1,2	Czech Republic,Germany	12655	349631	
1,3	Czech Republic,Hungary	17523	529892	
1,4	Czech Republic,Liechtenstein	20110	630342	
1,5	Czech Republic,Poland	28036	715150	
1,6	Czech Republic,Slovakia	10913	332212	
1,7	Czech Republic,Slovenia	24087	708145	
1,8	Czech Republic,Switzerland	26418	807120	
2,3	Germany,Hungary	29613	875038	
2,4	Germany,Liechtenstein	25364	778841	
2,5	Germany,Poland	19079	580327	
2,6	Germany,Slovakia	23003	677356	
2,7	Germany,Slovenia	32555	997214	
2,8	Germany,Switzerland	31515	960206	
3,4	Hungary,Liechtenstein	31443	950493	
3,5	Hungary,Poland	33213	878852	
3,6	Hungary,Slovakia	7490	203235	
3,7	Hungary,Slovenia	15734	464910	
3,8	Hungary,Switzerland	38472	1146276	
4,5	Liechtenstein,Poland	41485	1325074	
4,6	Liechtenstein,Slovakia	25987	785406	
4,7	Liechtenstein,Slovenia	21827	648052	
4,8	Liechtenstein,Switzerland	8500	232346	
5,6	Poland,Slovakia	26634	681713	
5,7	Poland,Slovenia	39957	1062186	
5,8	Poland,Switzerland	48053	1503401	
6,7	Slovakia,Slovenia	14693	449659	
6,8	Slovakia,Switzerland	33013	980108	
7,8	Slovenia,Switzerland	28396	836503	
