id	State	City	Lat	Lon
0	Albania	Tirana	41.326239	19.82286
1	Bosnia and Herzegovina	Sarajevo	43.854529	18.405896
2	Bulgaria	Sofia	42.694458	23.332841
3	Croatia	Zabreg	45.816429	15.974118
4	Greece	Athens	37.975285	23.737088
5	Kosovo	Pristina	42.664955	21.164393
6	Macedonia	Skopje	41.99275	21.432469
7	Montenegro	Podgorica	42.439888	19.260325
8	Serbia	Belgrade	44.811729	20.465919
