id	State	City	Lat	Lon
0	Conneticut	Hartford	41.764371	-72.682297
1	Maine	Augusta	44.307322	-69.781737
2	Massachusetts	Boston	42.3585	-71.06368
3	New Hampshire	Concord	43.207155	-71.538034
4	New Jersey	Trenton	40.220517	-74.769983
5	New York	Albany	42.6526	-73.757413
6	Pennsylvania	Harrisburg	40.264419	-76.883623
7	Rhode Island	Providence	41.831202	-71.414955
8	Vermont	Montpelier	44.262453	-72.580343
